txn_id,account_id,txn_ts,txn_type,amount,currency,counterparty_acct,channel,created_at,source_system
TXN00026545,ACC0003934,2026-04-26 15:10:51,wire_out,1550278.04,NGN,EXT-49700,atm,2026-04-26 15:11:12,MOBILE_GATEWAY
TXN00052560,ACC0000457,2026-03-07 12:55:36,deposit,182585.1,INR,EXT-30745,mobile,2026-03-07 12:55:58,BRANCH_POS
TXN00058845,ACC0002252,2026-03-01 14:02:43,deposit,583.79,GBP,EXT-96553,online,2026-03-01 14:02:44,WIRE_SWIFT_GW
TXN00021960,ACC0004174,2026-04-06T18:28:37+00:00,wire_out,1168.11,AUD,EXT-63223,mobile,2026-04-06 18:28:59,CORE_BANKING_V2
TXN00084420,ACC0005978,2026-05-18 01:53:34,deposit,799.88,USD,EXT-66713,wire,2026-05-18 01:53:50,WIRE_SWIFT_GW
TXN00034697,ACC0001869,2026-02-04 21:17:56,wire_out,371657.06,INR,EXT-34894,mobile,2026-02-04 21:17:57,WIRE_SWIFT_GW
TXN00036394,ACC0010375,2026-06-13 07:25:47,transfer_out,124959.12,INR,EXT-16789,branch,2026-06-13 07:26:04,CORE_BANKING_V2
TXN00049054,ACC0001493,2026-02-13 02:00:32,wire_in,6969.27,AUD,EXT-37307,mobile,2026-02-13 02:00:41,MOBILE_GATEWAY
TXN00048824,ACC0001870,2026-05-22 14:51:44,deposit,152481.72,RUB,EXT-61307,branch,2026-05-22 14:52:08,BRANCH_POS
TXN00163468,ACC0010081,2026-06-12 21:49:26,deposit,4080.03,USD,,wire,2026-06-12 21:49:34,MOBILE_GATEWAY
TXN00024420,ACC0002198,2026-01-04 15:19:56,withdrawal,2889.98,GBP,EXT-25410,atm,2026-01-04 15:20:19,MOBILE_GATEWAY
TXN00082398,ACC0004023,2026-04-04 23:44:59,wire_out,687.99,USD,EXT-75444,atm,2026-04-04 23:45:22,WIRE_SWIFT_GW
TXN00029644,ACC0009997,2026-05-12 13:34:14,withdrawal,3294.97,GBP,,branch,2026-05-12 13:34:33,BRANCH_POS
TXN00113852,ACC0009820,2026-02-10 07:08:02,deposit,4852.15,AUD,EXT-36173,branch,2026-02-10 07:08:07,WIRE_SWIFT_GW
TXN00059743,ACC0000130,2026-05-31 17:36:17,withdrawal,26355.91,CNY,EXT-26846,branch,2026-05-31 17:36:38,MOBILE_GATEWAY
TXN00154947,ACC0001327,2026-02-14 16:26:58,transfer_in,15094.51,AED,EXT-67766,atm,2026-02-14 16:27:22,CORE_BANKING_V2
TXN00013618,ACC0010106,2026-01-25 04:32:36,transfer_out,89390.07,INR,,mobile,2026-01-25 04:33:01,BRANCH_POS
TXN00081602,ACC0000019,2026-02-08T01:57:05+05:30,transfer_in,19634.51,CNY,EXT-46126,online,2026-02-08 01:57:15,WIRE_SWIFT_GW
TXN00160528,ACC0001974,2026-01-27 06:47:56,wire_in,4213.01,AUD,EXT-20876,wire,2026-01-27 06:48:02,BRANCH_POS
TXN00122858,ACC0001756,2026-01-10 18:32:33,transfer_out,2839.7,AUD,EXT-91605,wire,2026-01-10 18:32:40,MOBILE_GATEWAY
TXN00040948,ACC0001588,2026-04-24 19:11:20,withdrawal,3210.67,CAD,EXT-89048,branch,2026-04-24 19:11:25,CORE_BANKING_V2
TXN00003064,ACC0010547,2026-02-25 21:44:04,withdrawal,275585.05,RUB,EXT-13699,branch,2026-02-25 21:44:25,CORE_BANKING_V2
TXN00128105,ACC0004209,2026-06-28 22:01:26,deposit,4730.13,GBP,EXT-18383,mobile,2026-06-28 22:01:48,CORE_BANKING_V2
TXN00106565,ACC0009810,2026-06-14T20:57:35+03:00,transfer_in,4650.28,GBP,EXT-56206,branch,2026-06-14 20:57:46,BRANCH_POS
TXN00127493,ACC0008903,2026-01-31 06:35:18,wire_in,748.69,GBP,,wire,2026-01-31 06:35:40,MOBILE_GATEWAY
TXN00076506,ACC0000960,2026-01-30 02:30:17,withdrawal,4568.02,GBP,EXT-47239,online,2026-01-30 02:30:45,BRANCH_POS
TXN00050133,ACC0001256,2026-03-11 18:49:28,wire_in,55412.24,RUB,EXT-17381,atm,2026-03-11 18:49:52,BRANCH_POS
TXN00131849,ACC0010104,2026-04-08 14:57:12,wire_out,7125.54,CAD,EXT-89671,mobile,2026-04-08 14:57:34,WIRE_SWIFT_GW
TXN00013711,ACC0008079,2026-02-04 09:07:16,wire_out,13360.48,AED,EXT-37757,mobile,2026-02-04 09:07:32,WIRE_SWIFT_GW
TXN00065071,ACC0010341,2026-05-10 06:30:55,wire_in,1037.1,USD,EXT-31052,wire,2026-05-10 06:30:59,CORE_BANKING_V2
TXN00154006,ACC0010416,2026-06-09 20:19:47,wire_in,342778.99,RUB,EXT-18010,atm,2026-06-09 20:19:57,MOBILE_GATEWAY
TXN00054947,ACC0007007,2026-05-16 07:00:31,wire_in,484774.85,RUB,EXT-98667,online,2026-05-16 07:01:00,MOBILE_GATEWAY
TXN00030765,ACC0005335,2026-03-30 16:10:07,transfer_out,323539.58,INR,EXT-11489,online,2026-03-30 16:10:34,BRANCH_POS
TXN00160328,ACC0010857,2026-01-02 12:13:45,withdrawal,4773.25,CAD,EXT-87687,atm,2026-01-02 12:14:04,MOBILE_GATEWAY
TXN00058642,ACC0010914,2026-01-06 01:28:33,wire_out,1407.27,AUD,EXT-26656,online,2026-01-06 01:28:49,WIRE_SWIFT_GW
TXN00129025,ACC0007908,2026-02-16 02:54:57,transfer_out,368543.95,INR,EXT-66684,mobile,2026-02-16 02:54:58,CORE_BANKING_V2
TXN00098049,ACC0006099,2026-02-08 22:42:28,withdrawal,8028.94,AUD,EXT-84320,branch,2026-02-08 22:42:35,CORE_BANKING_V2
TXN00143418,ACC0010417,2026-04-26 12:56:02,deposit,566.12,GBP,EXT-97698,online,2026-04-26 12:56:26,CORE_BANKING_V2
TXN00136695,ACC0008285,2026-01-22 22:28:20,transfer_out,4709.19,gbp,,wire,2026-01-22 22:28:30,MOBILE_GATEWAY
TXN00152270,ACC0002175,2026-05-25T02:12:08+03:00,transfer_out,2243.07,USD,EXT-63026,branch,2026-05-25 02:12:13,BRANCH_POS
TXN00014749,ACC0003355,2026-03-19 09:31:57,wire_in,1905.58,GBP,EXT-61050,online,2026-03-19 09:32:17,BRANCH_POS
TXN00137001,ACC0004517,2026-05-03 02:39:28,transfer_in,24386.8,CNY,EXT-37411,branch,2026-05-03 02:39:54,BRANCH_POS
TXN00114884,ACC0003514,2026-01-28 06:58:56,deposit,256385.92,INR,EXT-88556,online,2026-01-28 06:58:57,CORE_BANKING_V2
TXN00031945,ACC0005393,2026-03-02 03:00:35,deposit,331381.58,RUB,EXT-42993,branch,2026-03-02 03:01:01,BRANCH_POS
TXN00159726,ACC0004589,2026-06-09 13:33:35,transfer_out,139710.83,INR,,atm,2026-06-09 13:33:57,BRANCH_POS
TXN00076730,ACC0002144,2026-02-23 16:52:25,transfer_in,28568.94,CNY,EXT-12948,online,2026-02-23 16:52:42,MOBILE_GATEWAY
TXN00038463,ACC0004708,2026-03-29T17:26:33+00:00,transfer_out,3376.26,AUD,EXT-18892,online,2026-03-29 17:26:40,CORE_BANKING_V2
TXN00142891,ACC0010702,2026-01-16 17:47:33,withdrawal,1618.15,GBP,,mobile,2026-01-16 17:48:02,MOBILE_GATEWAY
TXN00029674,ACC0005026,2026-03-27 08:13:45,withdrawal,4469.25,CAD,EXT-14504,atm,2026-03-27 08:13:59,MOBILE_GATEWAY
TXN00117031,ACC0004870,2026-01-07T16:59:35+08:00,withdrawal,4275.33,cad,EXT-67198,online,2026-01-07 16:59:38,BRANCH_POS
TXN00129334,ACC0005354,2026-04-28T13:51:05-08:00,deposit,2402.03,GBP,EXT-27006,branch,2026-04-28 13:51:09,WIRE_SWIFT_GW
TXN00075125,ACC0005983,2026-01-04 01:47:37,wire_in,17625.57,AED,EXT-19403,branch,2026-01-04 01:47:48,WIRE_SWIFT_GW
TXN00160976,ACC0005138,2026-05-03 21:48:44,transfer_out,6534.8,AUD,EXT-45700,branch,2026-05-03 21:48:58,CORE_BANKING_V2
TXN00026674,ACC0002005,2026-06-13 08:36:18,transfer_in,1480.51,SGD,EXT-81902,wire,2026-06-13 08:36:21,CORE_BANKING_V2
TXN00029889,ACC0000903,2026-01-13 12:19:56,withdrawal,2620.52,GBP,EXT-89378,atm,2026-01-13 12:20:08,MOBILE_GATEWAY
TXN00006098,ACC0006369,2026-06-05 09:11:52,withdrawal,105003.09,INR,,mobile,2026-06-05 09:11:57,BRANCH_POS
TXN00033410,ACC0008769,2026-05-01 08:42:11,wire_out,3938.66,EUR,EXT-76292,branch,2026-05-01 08:42:23,WIRE_SWIFT_GW
TXN00045188,ACC0006463,2026-02-12 21:15:03,deposit,1708.8,USD,EXT-14311,wire,2026-02-12 21:15:22,MOBILE_GATEWAY
TXN00153185,ACC0003151,2026-04-02 09:18:50,withdrawal,744.05,CAD,EXT-16617,atm,2026-04-02 09:19:11,CORE_BANKING_V2
TXN00160910,ACC0006989,2026-04-11 18:31:08,withdrawal,4824.62,USD,EXT-93435,mobile,2026-04-11 18:31:29,BRANCH_POS
TXN00135250,ACC0001431,2026-04-15 18:43:56,wire_out,16746.13,AED,EXT-38212,wire,2026-04-15 18:44:19,CORE_BANKING_V2
TXN00038413,ACC0003202,2026-05-23 20:50:16,withdrawal,384562.39,NGN,EXT-64912,online,2026-05-23 20:50:17,WIRE_SWIFT_GW
TXN00008154,ACC0007537,2026-03-12 16:47:46,wire_out,485365.21,RUB,EXT-10640,wire,2026-03-12 16:48:16,CORE_BANKING_V2
TXN00046578,ACC0002866,2026-04-10 01:32:04,transfer_in,4174.09,AUD,EXT-23656,branch,2026-04-10 01:32:11,MOBILE_GATEWAY
TXN00069163,ACC0009076,2026-01-02 05:50:44,wire_in,6363.74,SGD,EXT-16269,atm,2026-01-02 05:51:01,CORE_BANKING_V2
TXN00160740,ACC0007691,2026-04-13 08:48:25,transfer_in,3049.9,AUD,,online,2026-04-13 08:48:40,BRANCH_POS
TXN00031554,ACC0000057,2026-03-17 16:34:21,transfer_out,35960.03,CNY,EXT-11586,atm,2026-03-17 16:34:34,CORE_BANKING_V2
TXN00078884,ACC0000382,2026-02-11 16:06:05,withdrawal,2908.28,EUR,EXT-97129,wire,2026-02-11 16:06:19,MOBILE_GATEWAY
TXN00155463,ACC0002035,2026-01-09 16:22:12,transfer_in,242640.4,RUB,EXT-15043,branch,2026-01-09 16:22:20,MOBILE_GATEWAY
TXN00121236,ACC0008351,2026-02-28 02:57:08,withdrawal,6616.99,SGD,EXT-40230,atm,2026-02-28 02:57:22,MOBILE_GATEWAY
TXN00000981,ACC0002153,2026-04-13 06:43:35,withdrawal,5688.33,AUD,,atm,2026-04-13 06:43:50,MOBILE_GATEWAY
TXN00090555,ACC0009746,2026-05-01 14:41:39,deposit,5237.18,CAD,,wire,2026-05-01 14:42:04,CORE_BANKING_V2
TXN00158528,ACC0006847,2026-01-08 12:04:07,wire_in,230.5,AED,EXT-93683,mobile,2026-01-08 12:04:08,MOBILE_GATEWAY
TXN00117397,ACC0006218,2026-01-27 15:48:58,withdrawal,1630990.65,NGN,EXT-25521,wire,2026-01-27 15:49:03,WIRE_SWIFT_GW
TXN00065557,ACC0004073,2026-05-15 10:04:32,wire_out,3294.95,EUR,EXT-19386,branch,2026-05-15 10:04:52,MOBILE_GATEWAY
TXN00128303,ACC0010721,2026-02-10 15:39:40,transfer_in,2727.2,CAD,EXT-73777,wire,2026-02-10 15:39:44,WIRE_SWIFT_GW
TXN00136234,ACC0006461,2026-06-29 09:22:34,transfer_out,4460.55,sgd,EXT-50128,atm,2026-06-29 09:22:36,MOBILE_GATEWAY
TXN00152301,ACC0005753,2026-06-21 02:37:30,deposit,1603.0,CAD,,branch,2026-06-21 02:37:42,MOBILE_GATEWAY
TXN00036192,ACC0007609,2026-03-03 14:00:42,transfer_in,35856.02,CNY,EXT-66217,online,2026-03-03 14:00:50,WIRE_SWIFT_GW
TXN00041281,ACC0001048,2026-03-21T16:36:34+08:00,transfer_in,1918.99,SGD,EXT-52620,atm,2026-03-21 16:36:49,BRANCH_POS
TXN00078134,ACC0009668,2026-04-21 01:26:55,withdrawal,426859.21,NGN,EXT-45502,online,2026-04-21 01:27:09,CORE_BANKING_V2
TXN00134536,ACC0003754,2026-05-20T08:43:28-08:00,transfer_out,514998.71,NGN,EXT-31665,mobile,2026-05-20 08:43:48,MOBILE_GATEWAY
TXN00075105,ACC0002386,2026-02-02 06:28:06,wire_out,6842.05,AUD,EXT-35360,atm,2026-02-02 06:28:33,MOBILE_GATEWAY
TXN00053727,ACC0009836,2026-06-12 21:02:03,wire_in,100524.86,RUB,EXT-55195,branch,2026-06-12 21:02:32,CORE_BANKING_V2
TXN00038209,ACC0006734,2026-01-08 01:30:09,wire_out,19760.09,CNY,EXT-82924,branch,2026-01-08 01:30:34,CORE_BANKING_V2
TXN00038459,ACC0000126,2026-06-01 14:13:07,wire_out,987.06,EUR,EXT-88737,,2026-06-01 14:13:22,BRANCH_POS
TXN00074913,ACC0000519,2026-04-06 18:39:40,transfer_in,236.8,USD,,mobile,2026-04-06 18:39:57,MOBILE_GATEWAY
TXN00152908,ACC0005780,2026-03-26T16:47:12+01:00,withdrawal,43.33,USD,EXT-97834,online,2026-03-26 16:47:14,CORE_BANKING_V2
TXN00120575,ACC0002869,2026-03-07 21:46:05,wire_out,661.95,AUD,EXT-93964,online,2026-03-07 21:46:16,WIRE_SWIFT_GW
TXN00089057,ACC0004502,2026-05-02 18:11:07,transfer_in,4750.05,USD,EXT-11246,online,2026-05-02 18:11:20,BRANCH_POS
TXN00003238,ACC0006749,2026-06-05 01:07:37,transfer_out,406163.25,RUB,EXT-94264,wire,2026-06-05 01:08:04,MOBILE_GATEWAY
TXN00129628,ACC0003970,2026-01-16 10:31:21,deposit,167.51,GBP,EXT-38992,wire,2026-01-16 10:31:48,MOBILE_GATEWAY
TXN00040462,ACC0000173,2026-05-16 15:13:48,wire_in,2233.14,GBP,,branch,2026-05-16 15:13:56,MOBILE_GATEWAY
TXN00084312,ACC0009355,2026-01-18 11:26:53,wire_in,2083.94,AUD,,,2026-01-18 11:27:04,MOBILE_GATEWAY
TXN00019681,ACC0000811,2026-01-04 07:46:15,wire_out,33181.31,CNY,,online,2026-01-04 07:46:19,BRANCH_POS
TXN00035941,ACC0001320,2026-06-20 18:13:21,withdrawal,511357.9,NGN,EXT-81430,online,2026-06-20 18:13:40,CORE_BANKING_V2
TXN00068515,ACC0001583,2026-02-22 08:40:31,wire_out,598.33,CNY,EXT-75088,branch,2026-02-22 08:40:50,WIRE_SWIFT_GW
TXN00166309,ACC0001355,2026-01-11 00:04:25,withdrawal,13077.42,CNY,EXT-95874,online,2026-01-11 00:04:55,CORE_BANKING_V2
TXN00034063,ACC0003072,2026-06-06 10:03:06,deposit,1924.97,CAD,,mobile,2026-06-06 10:03:30,BRANCH_POS
TXN00001883,ACC0008536,2026-05-04 13:52:51,wire_out,950.04,AUD,EXT-64826,branch,2026-05-04 13:53:04,MOBILE_GATEWAY
TXN00154816,ACC0000180,2026-06-28 03:30:44,withdrawal,2871.29,USD,EXT-81293,wire,2026-06-28 03:30:46,CORE_BANKING_V2
TXN00000523,ACC0006243,2026-06-10 03:30:03,wire_out,7642.58,CAD,EXT-93539,wire,2026-06-10 03:30:21,WIRE_SWIFT_GW
TXN00017873,ACC0008968,2026-03-05 18:24:09,transfer_out,18202.55,AED,,mobile,2026-03-05 18:24:13,WIRE_SWIFT_GW
TXN00133149,ACC0000105,2026-03-15T11:23:33+05:30,deposit,450.98,GBP,,online,2026-03-15 11:23:49,MOBILE_GATEWAY
TXN00028935,ACC0008689,2026-01-26 16:39:35,wire_out,22060.67,CNY,EXT-36812,mobile,2026-01-26 16:40:05,MOBILE_GATEWAY
TXN00064275,ACC0001906,2026-05-17 21:45:59,wire_in,1029.09,GBP,EXT-27231,mobile,2026-05-17 21:46:06,MOBILE_GATEWAY
TXN00121465,ACC0007280,2026-01-14T16:46:18+08:00,deposit,527872.69,RUB,EXT-83690,wire,2026-01-14 16:46:24,CORE_BANKING_V2
TXN00085335,ACC0002766,2026-03-04 15:37:09,deposit,1090.77,GBP,EXT-20946,branch,2026-03-04 15:37:39,BRANCH_POS
TXN00046463,ACC0003250,2026-04-03 23:06:39,wire_out,7876.49,AUD,EXT-17078,online,2026-04-03 23:06:42,BRANCH_POS
TXN00044057,ACC0008008,2026-05-21 08:17:45,wire_in,22392.99,CNY,EXT-48090,online,2026-05-21 08:18:15,CORE_BANKING_V2
TXN00132463,ACC0002182,2026-05-31 11:52:58,withdrawal,986364.81,NGN,EXT-44276,atm,2026-05-31 11:53:23,WIRE_SWIFT_GW
TXN00067322,ACC0000703,2026-03-08 23:23:55,transfer_out,1407105.08,NGN,EXT-86726,branch,2026-03-08 23:24:15,WIRE_SWIFT_GW
TXN00006031,ACC0001978,2026-05-20T21:59:04-05:00,wire_out,5551.01,SGD,EXT-13327,branch,2026-05-20 21:59:31,MOBILE_GATEWAY
TXN00025377,ACC0000115,2026-06-05 07:47:06,deposit,4024.47,CAD,,mobile,2026-06-05 07:47:07,CORE_BANKING_V2
TXN00029192,ACC0008287,2026-01-21 20:46:33,transfer_out,5147.39,AUD,EXT-27046,online,2026-01-21 20:46:35,BRANCH_POS
TXN00153198,ACC0005538,2026-01-20 10:20:46,transfer_in,1683.72,GBP,EXT-61954,atm,2026-01-20 10:21:15,WIRE_SWIFT_GW
TXN00129846,ACC0007602,2026-04-05 08:02:36,withdrawal,79265.58,INR,EXT-95727,wire,2026-04-05 08:03:06,WIRE_SWIFT_GW
TXN00162972,ACC0006950,2026-05-10 18:06:19,transfer_in,404611.21,RUB,EXT-17322,mobile,2026-05-10 18:06:35,CORE_BANKING_V2
TXN00153913,ACC0008268,2026-06-18 21:40:44,transfer_in,3035.6,SGD,EXT-70332,atm,2026-06-18 21:40:55,WIRE_SWIFT_GW
TXN00144234,ACC0003483,2026-01-13 00:43:57,deposit,614.85,CAD,,atm,2026-01-13 00:44:11,CORE_BANKING_V2
TXN00040959,ACC0007016,2026-02-17 00:52:45,wire_in,5395.68,AUD,EXT-13216,mobile,2026-02-17 00:53:02,BRANCH_POS
TXN00001437,ACC0008125,2026-03-26 03:52:44,transfer_in,6111.46,CAD,EXT-26742,atm,2026-03-26 03:53:09,MOBILE_GATEWAY
TXN00166572,ACC0008517,2026-04-01 00:46:56,withdrawal,757.22,SGD,,atm,2026-04-01 00:47:26,CORE_BANKING_V2
TXN00068375,ACC0006671,2026-02-11 03:16:31,deposit,4199.44,AUD,EXT-64120,online,2026-02-11 03:16:40,WIRE_SWIFT_GW
TXN00121542,ACC0002206,2026-02-01T23:34:50+03:00,transfer_in,2774.6,SGD,EXT-65638,online,2026-02-01 23:35:12,MOBILE_GATEWAY
TXN00093524,ACC0005542,2026-06-18 10:17:50,transfer_in,7443.1,AED,EXT-41596,wire,2026-06-18 10:18:09,CORE_BANKING_V2
TXN00011455,ACC0006678,2026-04-17 07:46:27,withdrawal,2428.54,USD,EXT-93841,wire,2026-04-17 07:46:46,MOBILE_GATEWAY
TXN00088796,ACC0006141,2026-01-27 00:21:12,wire_in,168386.33,INR,EXT-70529,online,2026-01-27 00:21:27,CORE_BANKING_V2
TXN00077089,ACC0002646,2026-06-10 19:22:13,wire_out,1390.16,CAD,EXT-58341,,2026-06-10 19:22:39,BRANCH_POS
TXN00162307,ACC0005842,2026-06-05 07:47:20,withdrawal,7581.07,CNY,EXT-40426,wire,2026-06-05 07:47:28,WIRE_SWIFT_GW
TXN00134423,ACC0005943,2026-03-28 00:41:13,deposit,2277.03,GBP,EXT-71226,mobile,2026-03-28 00:41:37,CORE_BANKING_V2
TXN00148210,ACC0006177,2026-01-15 03:44:26,transfer_out,81942.85,INR,,mobile,2026-01-15 03:44:44,CORE_BANKING_V2
TXN00122960,ACC0009475,2026-01-14 18:36:20,transfer_out,5142.74,CAD,,wire,2026-01-14 18:36:46,MOBILE_GATEWAY
TXN00104241,ACC0010441,2026-06-29T13:45:19-08:00,transfer_in,1867.99,USD,EXT-62738,wire,2026-06-29 13:45:45,WIRE_SWIFT_GW
TXN00033948,ACC0002180,2026-02-17 05:50:42,transfer_in,3890.89,GBP,EXT-74056,mobile,2026-02-17 05:51:02,BRANCH_POS
TXN00071104,ACC0004951,2026-06-06 08:30:24,wire_in,5690.1,CAD,EXT-58952,mobile,2026-06-06 08:30:54,MOBILE_GATEWAY
TXN00156285,ACC0001865,2026-06-17 12:00:53,withdrawal,4994.46,AED,EXT-70627,atm,2026-06-17 12:01:10,BRANCH_POS
TXN00111196,ACC0002401,2026-06-26T21:10:04+00:00,deposit,941.6,EUR,EXT-91064,wire,2026-06-26 21:10:24,BRANCH_POS
TXN00154907,ACC0007406,2026-01-10 09:16:40,withdrawal,1291971.55,NGN,EXT-24940,online,2026-01-10 09:16:56,WIRE_SWIFT_GW
TXN00109933,ACC0007485,2026-04-03 05:08:22,wire_in,1237.2,GBP,EXT-93768,branch,2026-04-03 05:08:42,WIRE_SWIFT_GW
